Id,Name,ZIP_Code
1,Alpine,11207
2,AMC Empire 25,10036
3,Regal E-Walk,10036
4,AMC Village 7,10003
5,AMC Lincoln Square,10023
6,AMC Orpheum 7,10028
7,Nitehawk Cinema,11249
8,Regal UA Sheepshead Bay,11235
9,Regal Essex Crossing ,11209
