Genre_Id,Movie_Id
1,1
2,1
3,1
4,1
5,2
6,2
7,2
8,2
5,3
6,3
2,3
9,3
3,4
1,4
4,4
1,5
10,5
11,5
12,5
2,6
13,6
1,6
3,6
1,7
10,7
4,8
1,8
3,8
9,8
14,8
2,9
15,9
5,10
7,10
1,10
9,10
6,10
3,11
1,11
4,11
3,12
1,12
4,12
3,13
2,13
3,14
6,14
9,14
1,14
16,15
1,15
7,15
9,15
17,15
5,16
1,16
7,16
6,16
1,17
3,17
4,17
18,17
3,18
2,18
1,18
4,18
5,19
15,19
6,19
1,19
7,19
2,20
1,20
15,20
3,21
2,21
1,21
19,21
5,22
6,22
9,22
1,22
3,23
2,23
1,23
4,23
18,23
5,24
2,24
3,24
6,24
5,25
7,25
8,25
17,25
20,25
1,26
9,26
21,26
3,27
1,27
4,27
18,28
6,28
7,28
2,29
1,29
12,29
12,30
1,30
18,30
16,31
16,32
3,32
7,32
2,33
5,33
3,33
4,33
5,34
11,34
22,34
8,34
6,34
7,34
5,35
22,35
8,35
6,35
9,35
13,36
16,37
8,37
7,37
2,38
2,39
8,39
1,39
16,40
16,41
10,42
17,42
5,43
22,43
8,43
6,43
5,44
2,44
23,44
6,44
2,45
5,45
1,45
24,46
5,46
7,46
23,46
3,47
5,47
1,47
5,48
7,48
5,49
1,49
7,49
23,49
5,50
2,50
22,50
8,50
9,50
10,51
17,51
