Id,Type
1,Drama
2,Comedy
3,Romance
4,Musical
5,Action
6,Adventure
7,Thriller
8,Science Fiction
9,Fantasy
10,Crime Thriller
11,War
12,Crime Fiction
13,Romantic Comedy
14,Animation
15,Sports
16,Horror
17,Mystery
18,Musical Drama
19,Adaptation
20,Psychological thriller
21,Comedy music
22,Superhero
23,Crime
24,Spy
