Director_Id ,Movie_Id
1,1
2,2
3,2
4,2
5,3
6,4
7,4
8,5
9,6
10,7
11,8
12,9
13,9
14,10
15,11
16,12
17,13
18,14
19,15
20,16
21,17
22,18
23,19
24,20
25,21
26,22
27,23
28,24
29,25
30,25
31,26
32,27
33,28
34,29
34,30
35,31
35,32
34,33
36,34
37,35
38,36
39,37
38,38
40,39
41,40
41,41
42,42
43,43
45,44
44,45
46,46
47,47
48,48
34,49
49,50
50,51
